user,text
1277003670794702851,@JOEDEUTEROS2319 @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Ya pasamos a España
1277003662603108352,@enrique_ers @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Excelente que los activos se mantengan en esa cifras woow casi un mes y los activos estan en ese lugar excelente!!!!!.
1277003614305816577,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Aun se sigue manteniendo el 18% de casos positivos, ojala la proxima semana y siguientes solo veamos porcentajes menores a este."
1277003610912677889,"@warneriusko @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Binomio es un termino algebraico troll imbecil, no tiene que ver con estas cifras animal de merda"
1277003600212918272,@felixroj @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Ohhh que rudo ...!!!
1277003481052823554,"@enrique_ers @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Segun esta data Peru, en los proximos dias estara en 5to lugar. Sigan saliendo a la calle"
1277003389302423552,@imprudentes6 @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Tu analisis es tan estupido entonces que me tildas de Fujiaprista. 🤦‍♂️🤦‍♂️🤦‍♂️
1277003300676698112,"@Minsa_Peru Informa #Dia104 Resultados 275 989 positivos y 1’349,146 negativos. #COVID19 https://t.co/FoYfFIGaOE"
1277003256850534401,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano En España e Italia , esta semana fueron de altos contagios de coronavirus , como si fuera un rebrote , cuidado . Esos paises han flexibilizado sus actividades y a vuelto a ascender la cifra de contagios . Ojo al piojo ."
1277003246494679045,@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Bueno y dicen que las cifras estan bajando
